Repositorios,Linguagens
smoke-dynamodb,Swift
style-dictionary,JavaScript
smoke-aws-credentials,Swift
smoke-aws,Swift
smoke-aws-support,Swift
smoke-http,Swift
selling-partner-api-samples,Python
amzn-drivers,C
pretraining-or-self-training,Python
pecos,Python
multilingual-keyphrase-generation,Python
selling-partner-api-models,Mustache
rdma-core,C
buy-with-prime-monitoring-sample-cdk,TypeScript
amazon-payments-magento-2-plugin,PHP
armbench,Python
confident-sinkhorn-allocation,Jupyter Notebook
ws-vae,Python
ads-advanced-tools-docs,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
buy-with-prime-automate-tenant-validation,JavaScript
ads-pao-amznjs-gtm-template,Smarty
rheoceros,Python
zeek-plugin-tds,Zeek
zeek-plugin-s7comm,Zeek
zeek-plugin-enip,Zeek
zeek-plugin-bacnet,Zeek
zeek-plugin-profinet,Zeek
amazon-hub-counter-api-samples,Java
extremely-efficient-query-encoder,Python
amazon-codeguru-profiler-for-spark,Java
nimbus-jose-jwt_aws-kms-extension,Java
trans-encoder,Python
orthogonal-additive-gaussian-processes,Python
user-satisfaction-modeling,Python
mrc-net-6d-pose,Python
amazon-pay-sdk-java,Java
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-python,Python
node-jose_aws-kms-extension,TypeScript
amazon-marketing-stream-examples,Python
smoke-framework-application-generate,Swift
smoke-aws-generate,Swift
service-model-swift-code-generate,Swift
openapi-swift-code-generate,Swift
selling-partner-api-docs,ND
amazon-multi-token-completion,Python
amazon-pay-sdk-ruby,Ruby
amazon-pay-sdk-php,PHP
chalet-charging-location-for-electric-trucks,Python
amazon-s3-gst-plugin,C
auction-gym,Jupyter Notebook
amazon-pay-api-sdk-php,PHP
jekyll-doc-project,HTML
ftv-integration-sdk-sample-app,Kotlin
.github,ND
informative-diverse-hard-negative-sampling,Python
amazon-sidewalk-android-samples,ND
amazon-sidewalk-ios-samples,Swift
amazon-pay-api-sdk-nodejs,JavaScript
smoke-framework,Swift
buy-with-prime-oauth-handler-ec2,JavaScript
buy-with-prime-saas-integration,TypeScript
amazon-pay-api-sdk-java,Java
amzn-ec2-ena-utilities,Python
glad,JavaScript
amazon-ray,Python
amazon-frustration-free-setup-certification-tool,Python
augment-the-pairs-wacv2024,Python
amazon-payment-files-tools,Kotlin
amigitenough,Go
firetv-sample-touch-app,Java
sample-fire-tv-app-video-skill,Java
amazon-launcher-integration-cordova-plugin,JavaScript
rete-thewebconf-2022,Python
sto-transformer,Python
seqzero,Python
awsssmchaosrunner,Kotlin
sparse-vqvae,Python
buy-with-prime-cdk-constructs,TypeScript
computer-vision-basics-in-microsoft-excel,ND
fashion-attribute-disentanglement,Python
buy-with-prime-event-accelerator,Python
python-jose_aws-kms-extension,Python
merlin-on-demand-callgraph,JavaScript
amazon-hub-counter-sdk-java,Java
fire-app-builder,Java
hawktracer,C++
halo-third-party-sdk-for-node-js,TypeScript
halo-third-party-sdk-for-python,Python
halo-third-party-sdk-for-java,Java
eslint-plugin-no-date-parsing,TypeScript
cosearcher,Python
amazon-weak-ner-needle,Python
sketch-constructor,JavaScript
workspace-resolver,JavaScript
xfer,Python
faithful-data2text-cycle-training,Python
ion-object-mapper-dotnet,C#
multimodal-affinities,Python
exoplayer-amazon-port,Java
amazon-instant-access-sdk-java,Java
kqr,ND
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-net,C#
MXFusion,Python
metalearn-leap,Python
amazon-pay-sdk-samples,PHP
distance-assistant,Python
milan,Scala
smoke-framework-examples,Swift
alexa-coho,JavaScript
amazon-hub-counter-api-docs,CSS
ftv-livetv-sample-tv-app,Java
multiconer-baseline,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
refuel-open-domain-qa,Python
debiased-balanced-interleaving,Jupyter Notebook
differential-privacy-bayesian-optimization,Python
amazon-hub-support,PowerShell
ss-aga-kgc,Python
basis-point-sets,Python
aws-sigv4-signing-samples,Java
amazon-ads-advertiser-audience-normalization-sdk-py,Python
data-jack-knife,Java
amazon-succinct-doc-representation,Python
git-commit-template,JavaScript
robotiq-gripper-interface,C++
supply-chain-simulation-environment,Python
credence-to-causal-estimation,Python
explainable-text-vqa,ND
zero-shot-rlhr,Python
oss-contribution-tracker,TypeScript
oss-attribution-builder,TypeScript
image-to-recipe-transformers,Python
golang-gitoperations,Go
tiny-attribution-generator,TypeScript
convolutional-handwriting-gan,Python
image-misspell-coling2020,ND
aws-apigateway-client-lib,ND
alexa-skills-kit-js,ND
amazon-advertising-api-php-sdk,PHP
autotrail,Python
oss-dashboard,Ruby
gameon-starter-kit-unity,C#
gameon-sample-game-unity,C#
drs-sample-android-app,Java
drs-sample-ios-app,Objective-C
amazon-mcf-plugin-for-magento-1,PHP
emukit-playground,JavaScript
login-with-amazon-oscommerce,PHP
login-with-amazon-wordpress,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-template-library,C++
